count,country_1,lin,sum,percentage,month
6,Gibraltar,B.1.1.269,194,3.0927835051546393,2020-01
2,Gibraltar,B.1.1.37,194,1.0309278350515463,2020-01
14,Gibraltar,B.1.177.25,194,7.216494845360824,2020-01
1,Gibraltar,B.1.1.63,194,0.5154639175257731,2020-01
7,Gibraltar,B.1.160,194,3.608247422680412,2020-01
7,Gibraltar,B.1.160.28,194,3.608247422680412,2020-01
94,Gibraltar,B.1.177,194,48.45360824742268,2020-01
1,Gibraltar,B.1.1.409,194,0.5154639175257731,2020-01
1,Greece,B.1.36.36,151,0.6622516556291391,2020-01
7,Greece,B.1.111,151,4.635761589403973,2020-01
6,Greece,B.1.177,151,3.9735099337748347,2020-01
1,Greece,B.1.356,151,0.6622516556291391,2020-01
1,Greece,B.1.36.10,151,0.6622516556291391,2020-01
1,Greece,B.1.520,151,0.6622516556291391,2020-01
1,Greece,C.30,151,0.6622516556291391,2020-01
1,Greece,B.35,151,0.6622516556291391,2020-01
2,Greece,B.40,151,1.3245033112582782,2020-01
2,Greece,B.61,151,1.3245033112582782,2020-01
1,Greece,B.1.1.87,151,0.6622516556291391,2020-01
3,Greece,C.35,151,1.9867549668874174,2020-01
1,Greece,B.1.576,151,0.6622516556291391,2020-01
3,Greece,B.1.1.70,151,1.9867549668874174,2020-01
2,Greece,B.58,151,1.3245033112582782,2020-01
6,Greece,B.1.1.305,151,3.9735099337748347,2020-01
1,Greece,A.1,151,0.6622516556291391,2020-01
1,Greece,A.5,151,0.6622516556291391,2020-01
21,Greece,B.1,151,13.90728476821192,2020-01
2,Greece,B.1.1.309,151,1.3245033112582782,2020-01
34,Greece,B.1.1,151,22.516556291390728,2020-01
1,Greece,B.1.1.142,151,0.6622516556291391,2020-01
1,Greece,B.1.1.1,151,0.6622516556291391,2020-01
7,Greece,B.1.1.192,151,4.635761589403973,2020-01
1,Greece,B.1.1.210,151,0.6622516556291391,2020-01
10,Greece,B.1.1.218,151,6.622516556291391,2020-01
2,Greece,B.1.1.231,151,1.3245033112582782,2020-01
29,Greece,B.1.1.29,151,19.205298013245034,2020-01
2,Greece,B.1.1.161,151,1.3245033112582782,2020-01
5,Hong Kong,B.43,56,8.928571428571429,2020-01
20,Hong Kong,None,56,35.714285714285715,2020-01
4,Hong Kong,B.4,56,7.142857142857142,2020-01
13,Hong Kong,B,56,23.214285714285715,2020-01
5,Hong Kong,B.1.36.10,56,8.928571428571429,2020-01
7,Hong Kong,A,56,12.5,2020-01
2,Hong Kong,B.28,56,3.571428571428571,2020-01
5,India,B.1.210,114,4.385964912280701,2020-01
5,India,B.6.6,114,4.385964912280701,2020-01
10,India,B.6,114,8.771929824561402,2020-01
1,India,None,114,0.8771929824561403,2020-01
4,India,B.4,114,3.508771929824561,2020-01
2,India,B.1.369,114,1.7543859649122806,2020-01
8,India,B.1.36.8,114,7.017543859649122,2020-01
13,India,B.1.36.36,114,11.403508771929824,2020-01
1,India,B.1.36,114,0.8771929824561403,2020-01
1,India,B.1.151,114,0.8771929824561403,2020-01
1,India,B,114,0.8771929824561403,2020-01
20,India,B.1.1.46,114,17.543859649122805,2020-01
1,India,B.1.1.409,114,0.8771929824561403,2020-01
9,India,B.1.1.306,114,7.894736842105263,2020-01
1,India,B.1.1.29,114,0.8771929824561403,2020-01
1,India,B.1.1.263,114,0.8771929824561403,2020-01
15,India,B.1.1,114,13.157894736842104,2020-01
8,India,B.1,114,7.017543859649122,2020-01
1,India,A.2,114,0.8771929824561403,2020-01
1,India,A,114,0.8771929824561403,2020-01
6,India,B.1.1.7,114,5.263157894736842,2020-01
1,Israel,B.1,1,100.0,2020-01
1,Italy,B.1.416,24,4.166666666666666,2020-01
3,Italy,None,24,12.5,2020-01
1,Italy,B.1.69,24,4.166666666666666,2020-01
1,Italy,B.1.515,24,4.166666666666666,2020-01
4,Italy,B.1.36.36,24,16.666666666666664,2020-01
4,Italy,B,24,16.666666666666664,2020-01
1,Italy,B.1.1.25,24,4.166666666666666,2020-01
5,Italy,B.1,24,20.833333333333336,2020-01
1,Italy,B.1.1.33,24,4.166666666666666,2020-01
3,Italy,B.1.1,24,12.5,2020-01
2,Japan,B.1.36.10,145,1.3793103448275863,2020-01
1,Japan,None,145,0.6896551724137931,2020-01
3,Japan,B.12,145,2.0689655172413794,2020-01
1,Japan,B.1.516,145,0.6896551724137931,2020-01
5,Japan,B.1.1.48,145,3.4482758620689653,2020-01
2,Japan,B.1.1.378,145,1.3793103448275863,2020-01
1,Japan,B.1.1.33,145,0.6896551724137931,2020-01
1,Japan,B.1.1.305,145,0.6896551724137931,2020-01
