Collection date,G,GH,GR,GRY,GV,L,O,S,V,sum
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,12.52139887503057,12.130105160185865,23.673269748104673,13.450721447786746,33.60234776228907,1.3939838591342628,0.8070432868672048,0.4157495720224994,2.005380288579115,584.1428571428571
2020-01-08,,,,,,,,,,0.0
2020-01-09,,,,,,,,,,0.0
2020-01-10,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.42857142857142855
2020-01-11,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.42857142857142855
2020-01-12,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.42857142857142855
2020-01-13,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.42857142857142855
2020-01-14,25.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.5714285714285714
2020-01-15,25.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.5714285714285714
2020-01-16,25.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.5714285714285714
2020-01-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2020-01-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2020-01-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2020-01-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2020-01-21,,,,,,,,,,0.0
2020-01-22,,,,,,,,,,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.5714285714285714
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7142857142857143
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7142857142857143
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7142857142857143
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7142857142857143
2020-01-28,30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1.4285714285714286
2020-01-29,18.51851851851852,0.0,3.7037037037037033,0.0,0.0,14.814814814814813,44.44444444444444,14.814814814814813,3.7037037037037033,3.857142857142857
2020-01-30,26.923076923076923,0.0,3.846153846153846,0.0,0.0,15.384615384615383,30.769230769230766,15.384615384615383,7.692307692307692,3.7142857142857144
2020-01-31,25.925925925925924,0.0,3.7037037037037033,0.0,0.0,14.814814814814813,29.629629629629626,14.814814814814813,11.11111111111111,3.857142857142857
2020-02-01,36.58536585365854,0.0,9.75609756097561,0.0,0.0,17.073170731707318,19.51219512195122,9.75609756097561,7.317073170731707,5.857142857142857
2020-02-02,34.090909090909086,2.272727272727273,9.090909090909092,0.0,0.0,18.181818181818183,20.454545454545457,9.090909090909092,6.8181818181818175,6.285714285714286
2020-02-03,36.36363636363637,1.8181818181818181,7.2727272727272725,0.0,0.0,20.0,16.363636363636367,9.090909090909092,9.090909090909092,7.857142857142857
2020-02-04,32.075471698113205,3.7735849056603774,7.547169811320755,0.0,0.0,20.754716981132077,15.09433962264151,9.433962264150944,11.320754716981133,7.571428571428571
2020-02-05,40.54054054054054,5.405405405405405,8.108108108108107,0.0,0.0,21.62162162162162,8.108108108108107,2.7027027027027026,13.513513513513514,5.285714285714286
2020-02-06,37.142857142857146,8.571428571428571,8.571428571428571,0.0,0.0,22.857142857142858,8.571428571428571,2.857142857142857,11.428571428571429,5.0
2020-02-07,36.84210526315789,7.894736842105263,7.894736842105263,2.631578947368421,0.0,23.68421052631579,10.526315789473683,2.631578947368421,7.894736842105263,5.428571428571429
2020-02-08,24.137931034482758,10.344827586206895,0.0,3.448275862068965,0.0,34.48275862068965,13.79310344827586,3.448275862068965,10.344827586206895,4.142857142857143
2020-02-09,25.806451612903224,6.451612903225806,0.0,3.225806451612903,0.0,29.03225806451613,16.129032258064516,3.225806451612903,16.129032258064516,4.428571428571429
2020-02-10,18.181818181818183,13.636363636363635,0.0,4.545454545454546,0.0,27.27272727272727,22.72727272727273,0.0,13.636363636363635,3.142857142857143
2020-02-11,22.72727272727273,9.090909090909092,0.0,4.545454545454546,0.0,27.27272727272727,27.27272727272727,0.0,9.090909090909092,3.142857142857143
2020-02-12,15.789473684210526,5.263157894736842,0.0,2.631578947368421,0.0,13.157894736842104,55.263157894736835,0.0,7.894736842105263,5.428571428571429
2020-02-13,14.285714285714285,4.761904761904762,0.0,2.380952380952381,0.0,11.904761904761905,50.0,0.0,16.666666666666664,6.0
2020-02-14,16.279069767441857,4.651162790697674,0.0,0.0,2.325581395348837,9.302325581395348,44.18604651162791,0.0,23.25581395348837,6.142857142857143
2020-02-15,15.555555555555555,4.444444444444444,2.222222222222222,0.0,6.666666666666667,0.0,44.44444444444444,0.0,26.666666666666668,6.428571428571429
2020-02-16,13.043478260869565,4.3478260869565215,6.521739130434782,0.0,6.521739130434782,0.0,41.30434782608696,0.0,28.260869565217394,6.571428571428571
2020-02-17,11.363636363636365,2.272727272727273,6.8181818181818175,0.0,6.8181818181818175,0.0,43.18181818181818,0.0,29.545454545454547,6.285714285714286
