,lineage,country,count,total
0,B.1.617.2,Singapore,239,247
1,B.1.466.2,Singapore,4,247
2,B.1.351,Singapore,2,247
3,B.1.1.7,Singapore,2,247
4,B.1.1.7,Thailand,37,65
5,B.1.617.2,Thailand,28,65
